fid,tile_id,row,col,conf,class,img,x1,y1,x2,y2,x_coord,y_coord,Bairro,lat,lon
190,872364,111872,252416,0.834179878234863,falso,det_872364.png,,,,,685037.68,8171801.04,U.t.p. Zona Rural,-49.2661309615,-16.5285516893
193,906032,116224,193536,0.604653418064117,falso,det_906032.png,,,,,680327.28,8171452.88,U.t.p. Zona Rural,-49.3102276272,-16.5320595494
195,926127,118784,233216,0.688316583633423,falso,det_926127.png,,,,,683501.68,8171248.08,U.t.p. Zona Rural,-49.280474869,-16.533667191
196,936093,120064,232192,0.666485726833344,falso,det_936093.png,,,,,683419.76,8171145.68,U.t.p. Zona Rural,-49.2812340686,-16.5345987862
202,964091,123648,253184,0.739506244659424,falso,det_964091.png,0.193313598632812,,,256.0,685099.12,8170858.96,U.t.p. Zona Rural,-49.2654793927,-16.537059347
203,966083,123904,252672,0.651886343955994,falso,det_966083.png,,,,,685058.16,8170838.48,U.t.p. Zona Rural,-49.2658614386,-16.5372475898
204,966084,123904,252928,0.616617977619171,falso,det_966084.png,0.0,0.286087036132812,,,685078.64,8170838.48,U.t.p. Zona Rural,-49.2656695888,-16.5372459949
205,972061,124672,251648,0.75871616601944,falso,det_972061.png,,,256.0,,684976.24,8170777.04,U.t.p. Zona Rural,-49.2666238802,-16.5378091264
207,979878,125696,210944,0.968621373176575,verdadeiro,det_979878.png,0.13079833984375,,,256.0,681719.92,8170695.12,U.t.p. Zona Rural,-49.2971218714,-16.5388005811
210,991836,127232,209408,0.980642259120941,verdadeiro,det_991836.png,0.202308654785156,,,,681597.04,8170572.24,U.t.p. Zona Rural,-49.298263263,-16.5399203113
211,992005,127232,252672,0.727263927459717,falso,det_992005.png,,,256.0,,685058.16,8170572.24,U.t.p. Zona Rural,-49.2658399439,-16.5396532783
214,1005958,129024,251392,0.62654983997345,falso,det_1005958.png,,,,,684955.76,8170428.88,U.t.p. Zona Rural,-49.266787636,-16.5409566221
215,1007953,129280,251648,0.624114096164703,falso,det_1007953.png,,,,256.0,684976.24,8170408.4,U.t.p. Zona Rural,-49.2665941294,-16.5411400808
216,1009941,129536,250112,0.639363706111908,falso,det_1009941.png,,,256.0,,684853.36,8170387.92,U.t.p. Zona Rural,-49.2677436003,-16.5413346972
217,1009942,129536,250368,0.642099738121033,falso,det_1009942.png,0.288055419921875,,,,684873.84,8170387.92,U.t.p. Zona Rural,-49.2675517462,-16.5413331038
218,1011825,129792,221952,0.65580415725708,falso,det_1011825.png,0.0,,256.0,256.0,682600.56,8170367.44,U.t.p. Zona Rural,-49.28884604,-16.5416939574
221,1019905,130816,248576,0.752683162689209,falso,det_1019905.png,,,,,684730.48,8170285.52,U.t.p. Zona Rural,-49.2688864704,-16.5422695203
223,1027859,131840,242944,0.775777518749237,falso,det_1027859.png,,,,,684279.92,8170203.6,U.t.p. Zona Rural,-49.2731006994,-16.5430447252
224,1029850,132096,242176,0.614162802696228,falso,det_1029850.png,0.0,0.104888916015625,,,684218.48,8170183.12,U.t.p. Zona Rural,-49.2736746219,-16.5432345439
225,1029856,132096,243712,0.651158273220062,falso,det_1029856.png,,0.21221923828125,256.0,,684341.36,8170183.12,U.t.p. Zona Rural,-49.2725234831,-16.5432250121
226,1031844,132352,242176,0.660054981708527,falso,det_1031844.png,,0.762680053710938,,,684218.48,8170162.64,U.t.p. Zona Rural,-49.2736729754,-16.5434195975
228,1039857,133376,251648,0.695049822330475,falso,det_1039857.png,,,,,684976.24,8170080.72,U.t.p. Zona Rural,-49.2665676785,-16.5441009282
229,1041831,133632,246528,0.602321803569794,falso,det_1041831.png,,,,,684566.64,8170060.24,U.t.p. Zona Rural,-49.2704031661,-16.5443178406
232,1043821,133888,245504,0.746008336544037,falso,det_1043821.png,,0.07177734375,,,684484.72,8170039.76,U.t.p. Zona Rural,-49.2711689464,-16.5445092574
237,1047784,134400,239104,0.85683411359787,falso,det_1047784.png,0.176193237304688,,,256.0,683972.72,8169998.8,U.t.p. Zona Rural,-49.2759621022,-16.5449190731
238,1049565,134656,184576,0.694841623306274,falso,det_1049565.png,,,,,679610.48,8169978.32,U.t.p. Zona Rural,-49.3168268126,-16.5454379818
239,1049826,134656,251392,0.662877440452576,falso,det_1049826.png,0.434906005859375,0.0108795166015625,,,684955.76,8169978.32,U.t.p. Zona Rural,-49.2667512691,-16.5450277875
240,1053772,135168,240640,0.717970252037048,falso,det_1053772.png,,,,,684095.6,8169937.36,U.t.p. Zona Rural,-49.2748060152,-16.5454647142
242,1053815,135168,251648,0.673776149749756,falso,det_1053815.png,,,,,684976.24,8169937.36,U.t.p. Zona Rural,-49.2665561046,-16.5453962987
244,1057757,135680,239872,0.619994044303894,falso,det_1057757.png,,,,,684034.16,8169896.4,U.t.p. Zona Rural,-49.2753783016,-16.5458395827
245,1063735,136448,238848,0.662313103675842,falso,det_1063735.png,,,,,683952.24,8169834.96,U.t.p. Zona Rural,-49.2761408056,-16.5464010899
247,1063757,136448,244480,0.667292296886444,falso,det_1063757.png,,,256.0,,684402.8,8169834.96,U.t.p. Zona Rural,-49.2719198928,-16.5463661525
248,1065739,136704,241408,0.606724202632904,falso,det_1065739.png,,,,,684157.04,8169814.48,U.t.p. Zona Rural,-49.2742205613,-16.5465702735
249,1069689,137216,231680,0.832385182380676,falso,det_1069689.png,,,,,683378.8,8169773.52,U.t.p. Zona Rural,-49.2815079729,-16.5470005954
250,1069710,137216,237056,0.661795020103455,falso,det_1069710.png,,,,,683808.88,8169773.52,U.t.p. Zona Rural,-49.2774788958,-16.5469673504
253,1073679,137728,232192,0.600713968276978,falso,det_1073679.png,,,,,683419.76,8169732.56,U.t.p. Zona Rural,-49.2811209713,-16.5473675412
255,1075729,137984,246528,0.63604474067688,falso,det_1075729.png,0.148666381835938,,,,684566.64,8169712.08,U.t.p. Zona Rural,-49.2703751179,-16.5474637463
257,1079716,138496,246272,0.670914947986603,falso,det_1079716.png,0.130477905273438,,,256.0,684546.16,8169671.12,U.t.p. Zona Rural,-49.2705636785,-16.5478354443
258,1079729,138496,249600,0.771803200244904,falso,det_1079729.png,,,,,684812.4,8169671.12,U.t.p. Zona Rural,-49.2680694905,-16.5478147413
259,1081709,138752,246016,0.668562769889832,falso,det_1081709.png,,,,,684525.68,8169650.64,U.t.p. Zona Rural,-49.2707538895,-16.5480220889
261,1085664,139264,237568,0.627767384052277,falso,det_1085664.png,,,,,683849.84,8169609.68,U.t.p. Zona Rural,-49.277082025,-16.5484446113
262,1085704,139264,247808,0.610297203063965,falso,det_1085704.png,,,,,684669.04,8169609.68,U.t.p. Zona Rural,-49.2694075612,-16.5483810522
263,1087682,139520,243712,0.70492422580719,falso,det_1087682.png,,,,,684341.36,8169589.2,U.t.p. Zona Rural,-49.2724756945,-16.5485915632
264,1087704,139520,249344,0.675521731376648,falso,det_1087704.png,,0.18536376953125,,,684791.92,8169589.2,U.t.p. Zona Rural,-49.2682547423,-16.548556547
265,1087705,139520,249600,0.619183778762817,falso,det_1087705.png,,0.0,,,684812.4,8169589.2,U.t.p. Zona Rural,-49.2680628811,-16.5485549533
